fold	feature_id	gene_symbol	weight	coef
full	ENSG00000103067	ESRP2	0.0263709214835315	0.961409307139163
full	ENSG00000105388	CEACAM5	0.0233637959914002	0.352862856644301
full	ENSG00000106541	AGR2	0.0222551207919845	0.12977360677776
full	ENSG00000107796	ACTA2	0.0294885897853548	0.0150589544370189
full	ENSG00000110092	CCND1	0.0299243745075687	0.213901433255008
full	ENSG00000110195	FOLR1	0.0257878763857432	1.14426482034676
full	ENSG00000125848	FLRT3	0.025932943618811	0.133359409942799
full	ENSG00000132821	VSTM2L	0.0269166304199128	0.0381466846329944
full	ENSG00000136155	SCEL	0.0253241711909683	0.521783425586445
full	ENSG00000138623	SEMA7A	0.05	0.0444800641552357
full	ENSG00000147676	MAL2	0.0224950267133724	0.00038859861955589
full	ENSG00000147689	FAM83A	0.025024754935482	0.000147404936761178
full	ENSG00000148735	PLEKHS1	0.0282512628847601	0.191130522728927
full	ENSG00000156234	CXCL13	0.0297942545776033	0.402939845432624
full	ENSG00000157765	SLC34A2	0.0215150262936862	2.09868634420241
full	ENSG00000163347	CLDN1	0.0243081646749495	0.335533224048741
full	ENSG00000165449	SLC16A9	0.0284963215854377	0.185379928792164
full	ENSG00000165633	VSTM4	0.0303891167975516	0.0176002094573207
full	ENSG00000170775	GPR37	0.0303783352738318	0.216099079115696
full	ENSG00000171557	FGG	0.0256989274055686	0.257826647653447
full	ENSG00000196230	TUBB	0.0285757565790325	1.11872577989551
full	EGFR_L858R	EGFR_L858R	0.0199347443302978	0.0535071638742919
full	ANYKRAS	ANYKRAS	0.0199347443302978	0.135702121310595
