DonorID	ColID	ID	Selector	group	Reference
CTR104	C5	CTR104.C5.C1.V1	V1	Control	yes
CTR104	C5	CTR104.C5.C1.V2	V2	Control	yes
CTR116	C2	CTR116.C2.C1.V1	V1	Control	NA
CTR130	C2	CTR130.C2.C3.V1	V1	Control	yes
CTR130	C2	CTR130.C2.C3.V2	V2	Control	yes
CTR131	C2	CTR131.C2.C3.V1	V1	Control	NA
CTR132	C4	CTR132.C4.C1.V1	V1	Control	yes
CTR132	C4	CTR132.C4.C2.V1	V1	Control	yes
CTR132	C4	CTR132.C4.C1.V2	V2	Control	yes
CTR132	C5	CTR132.C5.C1.V1	V1	Control	yes
CTR132	C6	CTR132.C6.C6.V1	V1	Control	yes
CTR132	C6	CTR132.C6.C6.V2	V2	Control	yes
CTR133	C1	CTR133.C1.C1.V1	V1	Control	NA
CTR134	C2	CTR134.C2.C1.V1	V1	Control	NA
CTR135	C2	CTR135.C2.C5.V1	V1	Control	yes
CTR135	C2	CTR135.C2.C6.V1	V1	Control	yes
CTR135	C2	CTR135.C2.C6.V2	V2	Control	yes
CTR136	C5	CTR136.C5.C1.V1	V1	Control	yes
CTR136	C5	CTR136.C5.C1.V2	V2	Control	yes
CTR150	C1	CTR150.C1.C2.V1	V1	Control	yes
CTR150	C1	CTR150.C1.C2.V2	V2	Control	yes
CTR151	C2	CTR151.C2.C1.V1	V1	Control	yes
CTR151	C2	CTR151.C2.C1.V2	V2	Control	yes
CTR160	C3	CTR160.C3.C1.V1	V1	Control	yes
CTR160	C3	CTR160.C3.C1.V2	V2	Control	yes
CTR160	C4	CTR160.C4.C1.V1	V1	Control	yes
CTR162	C1	CTR162.C1.C2.V1	V1	Control	yes
CTR162	C1	CTR162.C1.C2.V2	V2	Control	yes
CTR163	C1	CTR163.C1.C2.V1	V1	Control	NA
CTR164	C1	CTR164.C1.C2.V1	V1	Control	NA
CTR165	C2	CTR165.C2.C1.V1	V1	Control	NA
CTR166	C1	CTR166.C1.C2.V1	V1	Control	NA
CTR172	C1	CTR172.C1.C2.V1	V1	Control	NA
CTR172	C1	CTR172.C1.C3.V1	V1	Control	NA
CTR173	C1	CTR173.C1.C2.V1	V1	Control	NA
CTR173	C1	CTR173.C1.C3.V1	V1	Control	NA
CTR174	C1	CTR174.C1.C1.V1	V1	Control	NA
CTR179	C1	CTR179.C1.C4.V1	V1	Control	yes
CTR179	C1	CTR179.C1.C4.V2	V2	Control	yes
CTR181	C2	CTR181.C2.C1.V1	V1	Control	yes
CTR181	C2	CTR181.C2.C2.V1	V1	Control	yes
CTR181	C2	CTR181.C2.C2.V2	V2	Control	yes
CTR182	C1	CTR182.C1.C1.V1	V1	Control	NA
CTR184	C1	CTR184.C1.C1.V1	V1	Control	NA
CTR185	C1	CTR185.C1.C1.V1	V1	Control	yes
CTR185	C1	CTR185.C1.C1.V2	V2	Control	yes
CTR185	C3	CTR185.C3.C6.V1	V1	Control	yes
CTR185	C3	CTR185.C3.C6.V2	V2	Control	yes
CTR191	C2	CTR191.C2.C1.V1	V1	Control	NA
CTR217	C1	CTR217.C1.C1.V1	V1	Control	NA
CTR219	C1	CTR219.C1.C1.V1	V1	Control	NA
CTR220	C1	CTR220.C1.C1.V1	V1	Control	NA
CTR221	C1	CTR221.C1.C1.V1	V1	Control	NA
CTR222	C1	CTR222.C1.C1.V1	V1	Control	NA
CTR224	C1	CTR224.C1.C6.V1	V1	Control	yes
CTR224	C1	CTR224.C1.C6.V2	V2	Control	yes
CTR23	C2	CTR23.C2.C1.V1	V1	Control	yes
CTR23	C2	CTR23.C2.C2.V1	V1	Control	yes
CTR23	C2	CTR23.C2.C2.V2	V2	Control	yes
CTR24	C1	CTR24.C1.C1.V1	V1	Control	NA
CTR29	C3	CTR29.C3.C1.V1	V1	Control	NA
CTR29	C2	CTR29.C2.C1.V1	V1	Control	NA
CTR34	C7	CTR34.C7.C3.V1	V1	Control	NA
CTR34	C7	CTR34.C7.C4.V1	V1	Control	NA
CTR37	C2	CTR37.C2.C5.V1	V1	Control	NA
CTR45	C1	CTR45.C1.C3.V1	V1	Control	yes
CTR45	C1	CTR45.C1.C3.V2	V2	Control	yes
CTR45	C2	CTR45.C2.C1.V1	V1	Control	yes
CTR45	C2	CTR45.C2.C2.V1	V1	Control	yes
CTR45	C2	CTR45.C2.C1.V2	V2	Control	yes
CTR73	C1	CTR73.C1.C5.V1	V1	Control	NA
LDCT100	C1	LDCT100.C1.C1.V1	V1	Control	NA
LDCT101	C1	LDCT101.C1.C1.V1	V1	Control	NA
LDCT102	C1	LDCT102.C1.C1.V1	V1	Control	NA
LDCT113	C1	LDCT113.C1.C1.V1	V1	Control	NA
LDCT114	C1	LDCT114.C1.C1.V1	V1	Control	NA
LDCT116	C1	LDCT116.C1.C1.V1	V1	Control	NA
LDCT118	C1	LDCT118.C1.C1.V1	V1	Control	NA
LDCT119	C1	LDCT119.C1.C1.V1	V1	Control	NA
LDCT120	C1	LDCT120.C1.C1.V1	V1	Control	NA
LDCT121	C1	LDCT121.C1.C1.V1	V1	Control	NA
LDCT122	C1	LDCT122.C1.C1.V1	V1	Control	NA
LDCT124	C1	LDCT124.C1.C1.V1	V1	Control	NA
LDCT125	C1	LDCT125.C1.C1.V1	V1	Control	NA
LDCT127	C1	LDCT127.C1.C1.V1	V1	Control	NA
LDCT128	C1	LDCT128.C1.C1.V1	V1	Control	NA
LDCT132	C1	LDCT132.C1.C1.V1	V1	Control	NA
LDCT187	C1	LDCT187.C1.C1.V1	V1	Control	NA
LDCT188	C1	LDCT188.C1.C1.V1	V1	Control	NA
LDCT72	C1	LDCT72.C1.C1.V1	V1	Control	NA
LDCT76	C1	LDCT76.C1.C1.V1	V1	Control	NA
LDCT81	C1	LDCT81.C1.C1.V1	V1	Control	NA
LDCT82	C1	LDCT82.C1.C1.V1	V1	Control	NA
LDCT83	C1	LDCT83.C1.C1.V1	V1	Control	NA
LDCT84	C1	LDCT84.C1.C1.V1	V1	Control	NA
