gene_set_name	gene_id_simplified	gene_symbol	Weight
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000002746	HECW1	14.30131887
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000010310	GIPR	12.62033973
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000012171	SEMA3B	15.99248051
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000013588	GPRC5A	22.00326729
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000054690	PLEKHH1	13.45977374
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000058085	LAMC2	16.92685204
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000060566	CREB3L3	11.85685119
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000062038	CDH3	15.66128974
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000063660	GPC1	16.29017889
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000064195	DLX3	11.11097306
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000065325	GLP2R	12.99907956
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000069011	PITX1	14.79124836
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000074047	GLI2	15.73194178
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000074410	CA12	19.82303588
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000083857	FAT1	19.9324116
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000087510	TFAP2C	13.93304897
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000095752	IL11	14.04114329
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000099812	MISP	15.85348652
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000100302	RASD2	12.8987976
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000100625	SIX4	13.11251329
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000100867	DHRS2	17.72729856
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000101276	SLC52A3	13.67763548
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000101311	FERMT1	15.04155578
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000101670	LIPG	12.29501675
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000102359	SRPX2	14.32630292
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000105976	MET	16.57170589
H1975vscfRNAonly_Q0.99_P0_1sided	ENSG00000107159	CA9	11.70944952
