gene_id_simplified	V1	V1V2shared
ENSG00000004487	yes	NA
ENSG00000007202	yes	yes
ENSG00000014216	yes	yes
ENSG00000044574	yes	NA
ENSG00000047849	yes	yes
ENSG00000075426	yes	yes
ENSG00000090621	yes	yes
ENSG00000091073	yes	yes
ENSG00000100266	yes	yes
ENSG00000100325	yes	yes
ENSG00000100983	yes	yes
ENSG00000104960	yes	NA
ENSG00000105671	yes	yes
ENSG00000105723	yes	yes
ENSG00000106266	yes	yes
ENSG00000107521	yes	yes
ENSG00000108219	yes	yes
ENSG00000110047	yes	yes
ENSG00000110628	yes	yes
ENSG00000110713	yes	yes
ENSG00000111361	yes	yes
ENSG00000111679	yes	yes
ENSG00000115414	yes	yes
ENSG00000119383	yes	yes
ENSG00000125459	yes	yes
ENSG00000125755	yes	yes
ENSG00000126934	yes	yes
ENSG00000153395	yes	yes
ENSG00000158769	yes	yes
ENSG00000160255	yes	yes
ENSG00000163161	yes	yes
ENSG00000166145	yes	yes
ENSG00000171307	yes	yes
ENSG00000182473	yes	NA
ENSG00000197324	yes	yes
ENSG00000198356	yes	yes
ENSG00000204386	yes	yes
ENSG00000204394	yes	yes
ENSG00000244038	yes	yes
ENSG00000254986	yes	yes
ENSG00000260916	yes	yes
ENSG00000273749	yes	yes
ENSG00000277791	yes	yes
ENSG00000100867	yes	yes
ENSG00000110375	yes	yes
ENSG00000174226	yes	yes
ENSG00000006116	yes	yes
ENSG00000011677	yes	yes
ENSG00000070808	yes	yes
ENSG00000106689	yes	yes
ENSG00000110436	yes	yes
ENSG00000110786	yes	yes
ENSG00000112333	yes	yes
ENSG00000118160	yes	yes
ENSG00000119283	yes	yes
ENSG00000121905	yes	yes
ENSG00000123119	yes	yes
ENSG00000123560	yes	yes
ENSG00000128656	yes	yes
ENSG00000129159	yes	yes
ENSG00000136531	yes	yes
ENSG00000136541	yes	yes
ENSG00000139155	yes	yes
ENSG00000139767	yes	yes
ENSG00000141668	yes	yes
ENSG00000142408	yes	yes
ENSG00000144119	yes	yes
ENSG00000147246	yes	yes
ENSG00000148482	yes	yes
ENSG00000150394	yes	yes
ENSG00000152034	yes	yes
ENSG00000152595	yes	yes
ENSG00000152977	yes	yes
ENSG00000153266	yes	yes
ENSG00000160781	yes	yes
ENSG00000162975	yes	yes
ENSG00000164076	yes	yes
ENSG00000164794	yes	yes
ENSG00000165023	yes	yes
