gene_id_simplified	gene_symbol
ENSG00000183654	MARCH11
ENSG00000125354	SEPT6
ENSG00000205002	AARD
ENSG00000165029	ABCA1
ENSG00000131269	ABCB7
ENSG00000101986	ABCD1
ENSG00000143921	ABCG8
ENSG00000140526	ABHD2
ENSG00000269393	AC007965.1
ENSG00000269084	AC009977.1
ENSG00000269291	AC010877.1
ENSG00000269464	AC012067.1
ENSG00000267935	AC016752.1
ENSG00000130234	ACE2
ENSG00000123130	ACOT9
ENSG00000100312	ACR
ENSG00000147174	ACRC
ENSG00000103740	ACSBG1
ENSG00000068366	ACSL4
ENSG00000123165	ACTRT1
ENSG00000169717	ACTRT2
ENSG00000119640	ACYP1
ENSG00000139985	ADAM21
ENSG00000154734	ADAMTS1
ENSG00000173698	ADGRG2
ENSG00000156920	ADGRG4
ENSG00000241489	AF011889.5
ENSG00000155966	AFF2
ENSG00000180772	AGTR2
ENSG00000126878	AIF1L
ENSG00000156709	AIFM1
ENSG00000186471	AKAP14
ENSG00000197976	AKAP17A
ENSG00000147081	AKAP4
ENSG00000142208	AKT1
ENSG00000233889	AL353698.1
ENSG00000158578	ALAS2
ENSG00000165092	ALDH1A1
ENSG00000184254	ALDH1A3
ENSG00000101901	ALG13
ENSG00000125363	AMELX
ENSG00000099721	AMELY
ENSG00000184675	AMER1
ENSG00000104899	AMH
ENSG00000135409	AMHR2
ENSG00000101935	AMMECR1
ENSG00000126016	AMOT
ENSG00000106013	ANKRD7
ENSG00000011201	ANOS1
ENSG00000182287	AP1S2
ENSG00000169188	APEX2
ENSG00000171388	APLN
ENSG00000118137	APOA1
ENSG00000184831	APOO
ENSG00000155008	APOOL
ENSG00000178301	AQP11
ENSG00000169083	AR
ENSG00000078061	ARAF
ENSG00000109321	AREG
ENSG00000147256	ARHGAP36
ENSG00000089820	ARHGAP4
ENSG00000047648	ARHGAP6
ENSG00000129675	ARHGEF6
ENSG00000131089	ARHGEF9
ENSG00000174225	ARL13A
ENSG00000273003	ARL2-SNX15
ENSG00000126947	ARMCX1
ENSG00000184867	ARMCX2
ENSG00000102401	ARMCX3
ENSG00000196440	ARMCX4
ENSG00000125962	ARMCX5
ENSG00000198960	ARMCX6
ENSG00000120500	ARR3
ENSG00000006756	ARSD
ENSG00000157399	ARSE
ENSG00000062096	ARSF
ENSG00000205667	ARSH
ENSG00000004848	ARX
ENSG00000165192	ASB11
ENSG00000198881	ASB12
ENSG00000102048	ASB9
ENSG00000196433	ASMT
ENSG00000169093	ASMTL
ENSG00000130707	ASS1
ENSG00000101844	ATG4A
ENSG00000184743	ATL3
ENSG00000101974	ATP11C
ENSG00000101892	ATP1B4
ENSG00000067842	ATP2B3
ENSG00000071553	ATP6AP1
ENSG00000182220	ATP6AP2
ENSG00000165240	ATP7A
ENSG00000085224	ATRX
ENSG00000123594	ATXN3L
ENSG00000119986	AVPI1
ENSG00000126895	AVPR2
ENSG00000204195	AWAT1
ENSG00000147160	AWAT2
ENSG00000185825	BCAP31
ENSG00000137936	BCAR3
ENSG00000060982	BCAT1
ENSG00000121380	BCL2L14
ENSG00000183337	BCOR
ENSG00000085185	BCORL1
ENSG00000177324	BEND2
ENSG00000133169	BEX1
ENSG00000133134	BEX2
ENSG00000102409	BEX4
ENSG00000184515	BEX5
ENSG00000182492	BGN
ENSG00000198908	BHLHB9
ENSG00000145692	BHMT
ENSG00000130385	BMP15
ENSG00000102010	BMX
ENSG00000176720	BOK
ENSG00000183753	BPY2
ENSG00000183795	BPY2B
ENSG00000185894	BPY2C
ENSG00000012048	BRCA1
ENSG00000185515	BRCC3
ENSG00000102239	BRS3
ENSG00000165288	BRWD3
ENSG00000151136	BTBD11
ENSG00000010671	BTK
ENSG00000171155	C1GALT1C1
ENSG00000112936	C7
ENSG00000169239	CA5B
ENSG00000145309	CABS1
ENSG00000102001	CACNA1F
ENSG00000172137	CALB2
ENSG00000070808	CAMK2A
ENSG00000152495	CAMK4
ENSG00000014216	CAPN1
ENSG00000077274	CAPN6
ENSG00000147044	CASK
ENSG00000147144	CCDC120
ENSG00000203952	CCDC160
ENSG00000101997	CCDC22
ENSG00000186409	CCDC30
ENSG00000138483	CCDC54
ENSG00000123106	CCDC91
ENSG00000147082	CCNB3
ENSG00000156535	CD109
ENSG00000102245	CD40LG
ENSG00000117335	CD46
ENSG00000196352	CD55
ENSG00000002586	CD99
ENSG00000102181	CD99L2
ENSG00000102225	CDK16
ENSG00000008086	CDKL5
ENSG00000184258	CDR1
ENSG00000239704	CDRT4
ENSG00000131264	CDX4
ENSG00000172288	CDY1
ENSG00000172352	CDY1B
ENSG00000182415	CDY2A
ENSG00000129873	CDY2B
ENSG00000102384	CENPI
ENSG00000223591	CENPVP1
ENSG00000224109	CENPVP3
ENSG00000177143	CETN1
ENSG00000147400	CETN2
ENSG00000165164	CFAP47
ENSG00000197766	CFD
ENSG00000126759	CFP
ENSG00000149554	CHEK1
ENSG00000204116	CHIC1
ENSG00000110721	CHKA
ENSG00000188419	CHM
ENSG00000101938	CHRDL1
ENSG00000147119	CHST7
ENSG00000138615	CILP
ENSG00000125931	CITED1
ENSG00000179862	CITED4
ENSG00000073464	CLCN4
ENSG00000171365	CLCN5
ENSG00000013297	CLDN11
ENSG00000165376	CLDN2
ENSG00000234469	CLDN34
ENSG00000104938	CLEC4M
ENSG00000155962	CLIC2
ENSG00000120885	CLU
ENSG00000182712	CMC4
ENSG00000183862	CNGA2
ENSG00000149970	CNKSR2
ENSG00000130176	CNN1
ENSG00000204291	COL15A1
ENSG00000188153	COL4A5
ENSG00000197565	COL4A6
ENSG00000131055	COX4I2
ENSG00000160471	COX6B2
ENSG00000131174	COX7B
ENSG00000170516	COX7B2
ENSG00000187581	COX8C
ENSG00000147183	CPXCR1
ENSG00000143578	CREB3L4
ENSG00000146592	CREB5
ENSG00000095794	CREM
ENSG00000124490	CRISP2
ENSG00000205755	CRLF2
ENSG00000198930	CSAG1
ENSG00000198223	CSF2RA
ENSG00000077984	CST7
ENSG00000125815	CST8
ENSG00000173335	CST9
ENSG00000101811	CSTF2
ENSG00000232478	CT45A1
ENSG00000269586	CT45A10
ENSG00000242185	CT45A2
ENSG00000232417	CT45A3
ENSG00000228836	CT45A4
ENSG00000226907	CT45A6
ENSG00000273696	CT45A7
ENSG00000278085	CT45A8
ENSG00000270946	CT45A9
ENSG00000236371	CT47A1
ENSG00000224089	CT47A10
ENSG00000226929	CT47A11
ENSG00000226685	CT47A12
ENSG00000242362	CT47A2
ENSG00000236126	CT47A3
ENSG00000230594	CT47A4
ENSG00000226023	CT47A6
ENSG00000228517	CT47A7
ENSG00000230347	CT47A8
ENSG00000226600	CT47A9
