gene_id_simplified	gene_symbol
ENSG00000271503	CCL5
ENSG00000112715	VEGFA
ENSG00000143226	FCGR2A
ENSG00000135218	CD36
ENSG00000005961	ITGA2B
ENSG00000185245	GP1BA
ENSG00000197471	SPN
ENSG00000117335	CD46
ENSG00000164171	ITGA2
ENSG00000259207	ITGB3
ENSG00000174175	SELP
ENSG00000110848	CD69
ENSG00000066294	CD84
ENSG00000156535	CD109
ENSG00000183625	CCR3
ENSG00000150637	CD226
ENSG00000125735	TNFSF14
ENSG00000137507	LRRC32
ENSG00000111321	LTBR
ENSG00000163737	PF4
ENSG00000178732	GP5
ENSG00000124491	F13A1
ENSG00000137801	THBS1
ENSG00000125257	ABCC4
ENSG00000110934	BIN2
ENSG00000149781	FERMT3
ENSG00000171611	PTCRA
ENSG00000101162	TUBB1
ENSG00000169704	GP9
ENSG00000266412	NCOA4
ENSG00000150681	RGS18
ENSG00000163736	PPBP
ENSG00000153071	DAB2
ENSG00000010704	HFE
ENSG00000121966	CXCR4
ENSG00000165682	CLEC1B
ENSG00000117400	MPL
ENSG00000198734	F5
ENSG00000161911	TREML1
ENSG00000169313	P2RY12
ENSG00000005249	PRKAR2B
ENSG00000135604	STX11
ENSG00000205639	MFSD2B
ENSG00000108839	ALOX12
ENSG00000115956	PLEK
ENSG00000110876	SELPLG
ENSG00000123146	ADGRE5
ENSG00000101017	CD40
ENSG00000197930	ERO1A
ENSG00000010278	CD9
ENSG00000158769	F11R
ENSG00000136869	TLR4
ENSG00000205755	CRLF2
ENSG00000115008	IL1A
ENSG00000073060	SCARB1
ENSG00000137845	ADAM10
ENSG00000163823	CCR1
ENSG00000183813	CCR4
ENSG00000181104	F2R
ENSG00000154146	NRGN
ENSG00000228474	OST4
ENSG00000113140	SPARC
ENSG00000203618	GP1BB
ENSG00000233276	GPX1
ENSG00000125534	PPDPF
ENSG00000101335	MYL9
ENSG00000156265	MAP3K7CL
ENSG00000095303	PTGS1
ENSG00000127920	GNG11
ENSG00000100351	GRAP2
ENSG00000064601	CTSA
ENSG00000278828	HIST1H3H
ENSG00000115935	WIPF1
ENSG00000187699	C2ORF88
ENSG00000111348	ARHGDIB
ENSG00000129355	CDKN2D
ENSG00000104267	CA2
ENSG00000206503	HLA-A
ENSG00000107438	PDLIM1
ENSG00000162366	PDZK1IP1
ENSG00000204310	AGPAT1
ENSG00000088826	SMOX
ENSG00000122862	SRGN
ENSG00000197903	HIST1H2BK
ENSG00000198478	SH3BGRL2
ENSG00000074370	ATP2A3
ENSG00000111275	ALDH2
ENSG00000132965	ALOX5AP
ENSG00000127314	RAP1B
ENSG00000022267	FHL1
ENSG00000110799	VWF
ENSG00000162511	LAPTM5
ENSG00000068831	RASGRP2
ENSG00000180596	HIST1H2BC
ENSG00000059804	SLC2A3
ENSG00000071205	ARHGAP10
ENSG00000112195	TREML2
ENSG00000138722	MMRN1
ENSG00000166333	ILK
ENSG00000167207	NOD2
ENSG00000255346	NOX5
ENSG00000106366	SERPINE1
ENSG00000112062	MAPK14
ENSG00000167972	ABCA3
ENSG00000145824	CXCL14
ENSG00000149564	ESAM
ENSG00000124126	PREX1
ENSG00000163220	S100A9
ENSG00000124406	ATP8A1
ENSG00000163932	PRKCD
ENSG00000073756	PTGS2
ENSG00000057593	F7
ENSG00000091137	SLC26A4
ENSG00000129116	PALLD
ENSG00000101194	SLC17A9
ENSG00000137033	IL33
ENSG00000142082	SIRT3
ENSG00000155016	CYP2U1
ENSG00000174125	TLR1
ENSG00000174130	TLR6
ENSG00000242252	BGLAP
ENSG00000116977	LGALS8
ENSG00000160255	ITGB2
ENSG00000102245	CD40LG
ENSG00000154188	ANGPT1
ENSG00000144476	ACKR3
ENSG00000175792	RUVBL1
ENSG00000072274	TFRC
ENSG00000175564	UCP3
ENSG00000110195	FOLR1
ENSG00000175931	UBE2O
ENSG00000115232	ITGA4
ENSG00000110911	SLC11A2
